number_of_reviews,minimum_nights,calculated_host_listings_count,room_type,price
1.0,0.2857142857142857,0.0,0.5,130
0.42857142857142855,0.2857142857142857,0.0,0.5,169
1.0,0.14285714285714285,0.0,0.5,325
0.7142857142857142,0.0,0.015527950310559004,0.0,65
0.5714285714285714,0.0,0.006211180124223604,1.0,60
0.14285714285714285,0.2857142857142857,0.0,0.0,40
0.7142857142857142,0.0,0.0,1.0,75
0.2857142857142857,0.14285714285714285,0.0,0.0,50
0.0,0.14285714285714285,0.0,0.5,325
0.0,0.5714285714285714,0.006211180124223604,1.0,31
0.42857142857142855,0.0,0.08695652173913043,0.5,179
0.42857142857142855,0.0,0.006211180124223604,1.0,28
0.0,0.0,0.009316770186335404,0.5,309
0.42857142857142855,0.0,0.0,1.0,95
0.8571428571428572,0.5714285714285714,0.009316770186335404,1.0,31
0.42857142857142855,0.0,0.0,0.5,225
0.7142857142857142,0.14285714285714285,1.0,0.5,255
0.42857142857142855,0.0,0.037267080745341616,0.5,208
0.2857142857142857,0.14285714285714285,0.0,0.5,149
0.8571428571428572,0.14285714285714285,1.0,0.5,198
0.0,0.2857142857142857,0.006211180124223604,0.5,150
0.5714285714285714,0.14285714285714285,0.015527950310559004,0.0,55
0.8571428571428572,0.14285714285714285,1.0,0.5,231
0.42857142857142855,0.8571428571428572,0.02484472049689441,0.0,169
0.0,0.0,0.04037267080745341,0.0,135
0.2857142857142857,0.0,0.009316770186335404,1.0,28
0.5714285714285714,0.0,0.0031055900621118036,0.0,90
0.2857142857142857,0.0,0.0031055900621118036,0.0,55
0.14285714285714285,0.0,0.015527950310559004,0.0,230
0.2857142857142857,0.14285714285714285,0.0031055900621118036,0.0,220
0.7142857142857142,0.14285714285714285,0.0,0.0,58
0.0,0.8571428571428572,0.13043478260869565,0.0,120
0.42857142857142855,0.0,0.031055900621118012,0.0,100
0.0,0.0,0.015527950310559004,0.0,55
0.5714285714285714,0.5714285714285714,0.009316770186335404,0.5,229
0.8571428571428572,0.14285714285714285,0.0,1.0,40
0.7142857142857142,0.14285714285714285,0.0031055900621118036,1.0,30
0.5714285714285714,0.5714285714285714,0.0,0.0,85
0.42857142857142855,0.2857142857142857,0.009316770186335404,0.0,90
0.8571428571428572,0.5714285714285714,0.0031055900621118036,0.0,52
0.2857142857142857,0.2857142857142857,0.012422360248447204,0.0,95
0.2857142857142857,0.14285714285714285,1.0,0.5,235
0.42857142857142855,0.0,0.0031055900621118036,0.0,99
0.0,0.0,0.006211180124223604,0.0,60
0.2857142857142857,0.0,0.04037267080745341,0.0,135
0.8571428571428572,0.14285714285714285,0.0031055900621118036,0.0,45
1.0,0.8571428571428572,0.13043478260869565,0.0,100
0.8571428571428572,0.0,0.0,0.5,76
0.42857142857142855,0.0,0.0,0.0,60
0.8571428571428572,0.14285714285714285,1.0,0.5,229
0.8571428571428572,0.14285714285714285,1.0,0.5,203
1.0,0.2857142857142857,0.012422360248447204,0.0,39
0.2857142857142857,0.0,0.006211180124223604,0.0,49
0.14285714285714285,0.5714285714285714,0.006211180124223604,0.0,70
0.14285714285714285,0.0,0.0031055900621118036,0.0,130
0.5714285714285714,0.2857142857142857,0.02484472049689441,0.5,205
1.0,0.0,0.0031055900621118036,1.0,75
0.5714285714285714,0.0,0.0,0.5,189
0.42857142857142855,0.14285714285714285,0.015527950310559004,0.0,40
0.5714285714285714,0.0,0.006211180124223604,0.0,55
0.14285714285714285,0.7142857142857142,0.11801242236024845,0.0,42
0.42857142857142855,0.0,0.0,0.0,115
0.0,0.0,0.0,0.0,209
0.0,0.0,0.0031055900621118036,0.0,69
0.42857142857142855,0.8571428571428572,0.13043478260869565,0.0,99
0.8571428571428572,0.0,0.015527950310559004,0.0,119
0.7142857142857142,0.14285714285714285,1.0,0.5,308
0.5714285714285714,0.14285714285714285,0.0031055900621118036,1.0,30
1.0,0.0,0.006211180124223604,0.0,150
0.8571428571428572,0.14285714285714285,0.006211180124223604,0.5,159
0.2857142857142857,0.0,0.015527950310559004,0.0,63
0.2857142857142857,0.0,0.0031055900621118036,0.0,55
0.14285714285714285,0.14285714285714285,1.0,0.5,228
0.0,0.0,0.0031055900621118036,0.0,90
1.0,0.0,0.009316770186335404,0.0,45
0.42857142857142855,0.0,0.06521739130434782,0.0,55
0.7142857142857142,0.0,0.009316770186335404,0.0,50
0.5714285714285714,0.14285714285714285,1.0,0.5,265
0.2857142857142857,0.14285714285714285,1.0,0.5,223
0.42857142857142855,0.0,0.0031055900621118036,1.0,37
0.2857142857142857,0.0,0.012422360248447204,0.0,100
0.0,0.0,0.0031055900621118036,0.0,49
1.0,0.14285714285714285,0.015527950310559004,0.0,60
0.14285714285714285,0.0,0.031055900621118012,0.0,100
0.0,0.0,0.006211180124223604,0.0,100
0.7142857142857142,0.0,0.015527950310559004,0.0,209
0.14285714285714285,0.2857142857142857,0.02173913043478261,1.0,30
0.8571428571428572,0.0,0.006211180124223604,0.0,100
0.2857142857142857,0.0,0.031055900621118012,0.0,45
